,Unnamed: 0,Tanggal,Pembukaan,Bulan,Tahun,Pembukaan_log,Pembukaan_filled
258,258,2022-09-18,151.21,9,2022,-0.905636906277817,-0.905636906277817
259,259,2022-09-19,149.31,9,2022,-0.999311725148612,-0.999311725148612
260,260,2022-09-20,153.4,9,2022,-0.7998924605453059,-0.7998924605453059
261,261,2022-09-21,157.34,9,2022,-0.6153965349010204,-0.6153965349010204
262,262,2022-09-22,152.38,9,2022,-0.848851497163985,-0.848851497163985
263,263,2022-09-23,151.19,9,2022,-0.906613488289808,-0.906613488289808
264,264,2022-09-24,151.785,9,2022,-0.8776451409979314,-0.8776451409979314
265,265,2022-09-25,151.19,9,2022,-0.906613488289808,-0.906613488289808
266,266,2022-09-26,149.66,9,2022,-0.9819180410529552,-0.9819180410529552
267,267,2022-09-27,152.74,9,2022,-0.8315142332527734,-0.8315142332527734
268,268,2022-09-28,147.64,9,2022,-1.083178782401268,-1.083178782401268
269,269,2022-09-29,146.1,9,2022,-1.161824859061454,-1.161824859061454
270,270,2022-09-30,141.28,9,2022,-1.4164731234020185,-1.4164731234020185
271,271,2022-10-01,143.69,10,2022,-1.287501879060745,-1.287501879060745
272,272,2022-10-02,141.28,10,2022,-1.4164731234020185,-1.4164731234020185
273,273,2022-10-03,138.21,10,2022,-1.5857644220368805,-1.5857644220368805
274,274,2022-10-04,145.03,10,2022,-1.217225656445827,-1.217225656445827
275,275,2022-10-05,144.07,10,2022,-1.2674704068944778,-1.2674704068944778
276,276,2022-10-06,145.81,10,2022,-1.1767780557780778,-1.1767780557780778
277,277,2022-10-07,142.54,10,2022,-1.3486245876275005,-1.3486245876275005
278,278,2022-10-08,144.17499999999998,10,2022,-1.261949760406586,-1.261949760406586
279,279,2022-10-09,142.54,10,2022,-1.3486245876275005,-1.3486245876275005
280,280,2022-10-10,140.42,10,2022,-1.4633207576133185,-1.4633207576133185
281,281,2022-10-11,139.9,10,2022,-1.491862486675118,-1.491862486675118
282,282,2022-10-12,139.13,10,2022,-1.5344280392921354,-1.5344280392921354
283,283,2022-10-13,134.99,10,2022,-1.7696730543725123,-1.7696730543725123
284,284,2022-10-14,144.31,10,2022,-1.2548608929473195,-1.2548608929473195
285,285,2022-10-15,139.65,10,2022,-1.5056427835814494,-1.5056427835814494
286,286,2022-10-16,144.31,10,2022,-1.2548608929473195,-1.2548608929473195
287,287,2022-10-17,141.07,10,2022,-1.4278720043153623,-1.4278720043153623
288,288,2022-10-18,145.49,10,2022,-1.19333147151133,-1.19333147151133
289,289,2022-10-19,141.69,10,2022,-1.3942933071373658,-1.3942933071373658
290,290,2022-10-20,143.02,10,2022,-1.323020332934006,-1.323020332934006
291,291,2022-10-21,142.87,10,2022,-1.3310074074704623,-1.3310074074704623
292,292,2022-10-22,142.94500000000002,10,2022,-1.3270122541890343,-1.3270122541890343
293,293,2022-10-23,142.87,10,2022,-1.3310074074704623,-1.3310074074704623
294,294,2022-10-24,147.18,10,2022,-1.1065374505915178,-1.1065374505915178
295,295,2022-10-25,150.09,10,2022,-0.9606343876997446,-0.9606343876997446
296,296,2022-10-26,150.96,10,2022,-0.9178585276535878,-0.9178585276535878
297,297,2022-10-27,148.07,10,2022,-1.0614448192052302,-1.0614448192052302
298,298,2022-10-28,148.2,10,2022,-1.05489324657458,-1.05489324657458
299,299,2022-10-29,148.135,10,2022,-1.058167924042415,-1.058167924042415
300,300,2022-10-30,148.2,10,2022,-1.05489324657458,-1.05489324657458
301,301,2022-10-31,153.15,10,2022,-0.8118456602436456,-0.8118456602436456
302,302,2022-11-01,155.08,11,2022,-0.7203397038419577,-0.7203397038419577
303,303,2022-11-02,148.95,11,2022,-1.0172681268240558,-1.0172681268240558
